#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_4017	374	442	287	421	350	171	456	286	321	357
SL1344_4018	5	5	4	5	3	2	1	3	2	6
SL1344_4019	8	3	1	7	2	1	8	1	1	5
SL1344_4021	250	332	183	186	240	60	280	172	121	219
SL1344_4022	345	409	238	251	323	112	345	191	199	263
SL1344_4023	54	55	23	15	71	4	24	12	15	47
SL1344_4024	73	100	46	26	99	14	65	34	18	76
SL1344_4025	22	21	15	11	14	2	14	7	12	16
SL1344_4026	69	142	41	40	66	24	77	46	36	63
SL1344_4027	145	309	113	55	181	48	195	78	91	89
SL1344_4028	23	51	26	27	38	12	60	22	26	39
SL1344_4029	175	377	194	207	165	98	312	166	140	184
SL1344_4030	4016	8178	4452	6098	4323	2319	7852	4805	4452	3510
SL1344_4031	515	842	654	993	560	265	1076	571	317	593
SL1344_4032	778	1036	727	923	664	144	798	636	595	620
SL1344_4033	1929	1616	815	1045	1058	306	995	642	702	1207
SL1344_4034	2786	2863	1342	1302	1879	548	1187	1277	1755	1863
SL1344_4035	9639	19539	6936	3083	12966	1569	3703	8358	16024	9975
SL1344_4036	2489	3676	2055	841	3703	438	1069	1748	3012	2993
SL1344_4037	6678	10842	6129	8270	7958	2504	10099	8892	10702	3875
SL1344_4038	7549	10505	7076	8163	7044	2555	9856	6466	6132	7181
SL1344_4039	487	602	477	588	469	236	516	484	458	460
SL1344_4040	4709	9577	8216	3442	5869	2374	4969	7595	1938	5782
SL1344_4041	1097	1979	1704	622	1093	745	1124	1641	410	1217
SL1344_4042	7176	8011	4450	7299	6316	1563	7143	4502	5262	4528
SL1344_4043	1472	2694	1179	841	1640	371	1179	794	816	1666
SL1344_4044	1972	1785	1308	1934	1298	536	1614	1158	1180	1260
SL1344_4045	4067	2712	2377	4087	2709	2179	3523	2984	2656	2204
SL1344_4046	117	96	77	69	75	18	106	60	67	56
SL1344_4047	323	316	170	255	197	88	222	162	139	137
SL1344_4048	1207	1127	842	1174	1179	721	1251	1275	1675	524
SL1344_4049	1710	2472	1755	1877	1620	576	2259	1449	1106	1676
SL1344_4050	1407	1929	1360	1519	1188	658	1752	1151	1017	1241
SL1344_4051	33	26	9	17	28	9	20	16	8	9
SL1344_4052	6	22	11	10	17	13	23	7	4	7
SL1344_4053	109	158	93	41	154	15	68	44	84	80
SL1344_4054	224	237	150	168	126	61	181	88	100	134
SL1344_4055	102	152	89	136	119	34	165	74	66	107
SL1344_4056	643	1308	663	584	700	167	717	955	1179	648
SL1344_4057	67	44	21	58	39	24	42	39	20	48
SL1344_4058	350	627	307	360	364	181	410	269	243	330
SL1344_4059	268	705	359	422	436	182	528	402	250	360
SL1344_4060	292	481	241	293	279	142	328	249	157	289
SL1344_4061	70	133	67	65	78	20	63	69	30	65
SL1344_4062	126	263	160	85	127	47	207	161	90	89
SL1344_4063	398	738	404	401	359	138	626	384	286	400
SL1344_4064	536	863	380	456	403	151	742	364	271	530
SL1344_4065	492	643	247	414	268	141	509	312	257	260
SL1344_4066	536	367	200	277	249	110	237	192	181	225
SL1344_4068	3042	3583	2753	3763	2722	1241	3326	2644	2716	2290
SL1344_4069	2433	4201	2647	3498	2752	1375	4534	2022	1043	2521
SL1344_4070	253	311	135	309	179	82	379	140	130	231
SL1344_4071	176	221	202	255	138	82	183	123	75	135
SL1344_4072	243	410	243	282	180	85	334	180	102	272
SL1344_4073	991	1339	844	997	635	406	1062	674	545	658
SL1344_4074	3397	4486	2447	3176	2374	1598	3790	2649	2032	2467
SL1344_4075	1288	1704	1019	835	1379	348	884	1313	1916	1468
SL1344_4076	1416	1749	808	990	805	399	1058	911	739	871
SL1344_4077	201	224	100	167	132	45	152	110	105	186
SL1344_4078	1491	1599	1450	1862	1346	775	1828	1267	1220	1366
SL1344_4079	2650	3987	2331	3118	2424	904	2862	2459	2947	2433
SL1344_4080	410	530	386	504	288	146	521	373	312	416
SL1344_4081	1128	1140	749	915	668	325	947	763	859	624
SL1344_4082	2033	2277	1592	1652	1141	571	1913	1407	1319	1485
SL1344_4083	1366	1209	1053	1236	1048	379	1087	860	872	1467
SL1344_4084	0	2	0	2	2	4	0	0	0	2
SL1344_4085	21575	40661	29038	30833	27988	14166	37514	29865	21519	31883
SL1344_4086	9704	11790	8955	10707	7907	3404	10901	8040	6309	9590
SL1344_4087	12262	15135	11380	15340	10249	4835	15639	10695	9759	11760
SL1344_4088	12203	12705	10605	16681	11068	5449	15597	12728	13745	11232
SL1344_4089	25018	30473	23778	33586	21752	20098	32332	26829	23259	24485
SL1344_4090	40285	45985	43953	50502	35682	16531	55115	37399	25276	44650
SL1344_4091	79204	89128	76742	95602	67311	41104	101167	73311	56345	65731
SL1344_4092	73960	87239	64333	93060	58257	33273	75315	59416	63983	63119
SL1344_4093	78480	104767	75563	97036	65449	42700	90169	74311	75978	63273
SL1344_4094	420	205	270	477	191	56	326	203	120	724
SL1344_4095	118	48	71	134	55	18	72	46	74	102
SL1344_4096	475	457	326	416	352	66	517	315	175	611
SL1344_4097	98	102	74	91	43	19	71	52	36	79
SL1344_4098	88	205	67	108	86	51	130	74	56	55
SL1344_4099	44	102	32	58	48	26	60	22	22	43
SL1344_4100	24	21	15	24	18	3	19	24	13	23
SL1344_4101	46	94	47	71	73	29	70	53	41	59
SL1344_4102	43	98	40	46	45	23	57	40	20	60
SL1344_4103	1857	1038	598	958	631	211	894	436	252	1149
SL1344_4104	257	285	109	124	177	62	160	79	95	135
SL1344_4105	551	912	338	415	374	180	661	318	262	295
SL1344_4106	2216	3412	1820	2184	1658	600	2622	1571	1460	1689
SL1344_4107	411	550	226	325	265	140	464	186	190	295
SL1344_4108	3066	3880	1908	2667	1732	804	3173	1785	1927	1655
SL1344_4109	26504	40469	22327	29708	25309	10111	37647	24136	22740	23434
SL1344_4110	1555	1659	1164	1586	1292	537	1441	1107	1004	1165
SL1344_4111	70	57	48	47	32	14	45	34	27	29
SL1344_4112	938	1519	807	896	745	354	1174	731	651	706
SL1344_4113	1120	2119	922	991	884	380	1447	898	743	810
SL1344_4114	148	193	159	191	111	140	207	157	200	102
SL1344_4115	511	572	311	616	370	312	560	487	522	400
SL1344_4116	725	1455	631	771	821	248	873	640	801	461
SL1344_4117	46	41	19	32	28	18	73	23	19	40
SL1344_4118	89	130	37	67	50	19	99	58	31	71
SL1344_4119	69	98	60	71	69	21	111	52	41	41
SL1344_4120	163	121	65	107	94	18	149	76	58	69
SL1344_4121	294	266	160	273	223	88	250	212	208	284
SL1344_4122	1048	989	692	1102	925	460	1161	897	854	999
SL1344_4123	1524	2201	1086	1322	1129	473	1555	951	858	1076
SL1344_4124	681	1039	442	630	453	146	731	467	390	508
SL1344_4125	192	365	165	178	238	91	253	172	156	171
SL1344_4126	35	74	23	38	32	9	70	26	21	26
SL1344_4127	1862	3418	2235	2851	2327	719	3444	2394	2718	1586
SL1344_4128	1347	2233	1363	1962	1308	948	2089	1452	1384	1200
SL1344_4129	355	239	133	230	188	126	214	155	179	174
SL1344_4130	80	82	50	60	76	21	73	31	23	67
SL1344_4131	27	27	10	25	22	16	19	30	18	27
SL1344_4132	8	7	6	9	1	2	7	5	0	6
SL1344_4133	11	11	6	6	4	2	9	9	4	4
SL1344_4134	11	50	12	17	22	11	35	13	12	27
SL1344_4135	101	154	71	99	105	72	108	64	61	73
SL1344_4136	55	33	26	42	38	8	47	29	33	37
SL1344_4137	26	39	19	39	25	8	28	12	15	28
SL1344_4138	19	13	9	36	8	4	6	7	12	10
SL1344_4139	626	466	341	646	420	240	545	419	427	449
SL1344_4140	447	583	358	556	385	189	538	403	333	326
SL1344_4141	63	89	66	71	51	9	95	49	47	95
SL1344_4142	53	97	43	46	27	15	63	34	25	27
SL1344_4143	199	279	130	174	159	64	258	151	117	118
SL1344_4144	4	7	5	5	2	0	8	1	2	6
SL1344_4145	81	161	53	70	87	21	125	52	53	57
SL1344_4146	82	73	53	72	61	24	67	41	41	39
SL1344_4147	41	71	52	71	67	6	57	61	24	45
SL1344_4148	27	56	49	41	40	12	60	25	19	46
SL1344_4149	70	52	47	40	41	18	77	25	20	47
SL1344_4150	12	11	12	11	15	6	17	8	3	4
SL1344_4151	9	4	3	3	3	5	5	5	1	6
SL1344_4152	4	0	8	3	4	1	6	3	2	0
SL1344_4153	10	13	3	9	9	0	9	3	4	0
SL1344_4154	0	0	0	0	0	0	2	1	0	0
SL1344_4155	137	187	53	93	69	52	105	90	109	91
SL1344_4156	286	676	354	359	386	227	547	233	196	324
SL1344_4157	3569	7231	3728	4968	3801	1851	6864	3835	3353	4024
SL1344_4158	688	909	13	57	36	397	1443	34	45	25
SL1344_4159	131	367	27	33	53	96	452	32	21	14
SL1344_4160	113	374	24	50	20	45	471	29	15	37
SL1344_4161	796	1353	285	350	289	164	1593	244	162	296
SL1344_4162	245	215	103	132	123	48	269	89	40	175
SL1344_4163	58	141	17	14	18	6	27	22	31	18
SL1344_4164	178	401	12	15	65	8	23	43	143	37
SL1344_4166	608	2587	61	25	363	42	90	463	1047	190
SL1344_4167	954	2575	42	5	284	10	23	345	917	181
SL1344_4168	1365	3023	86	87	333	47	104	760	1717	195
SL1344_4169	588	1260	76	68	145	37	90	364	839	111
SL1344_4170	2006	2143	1196	1492	1215	314	1543	954	916	1500
SL1344_4171	691	685	378	480	383	132	595	385	331	398
SL1344_4172	4639	6226	4624	5888	4522	2074	5579	4401	4420	5016
SL1344_4173	265	326	219	222	175	71	364	201	170	279
SL1344_4174	6694	6505	4835	5397	4083	1855	5179	4134	4081	5114
SL1344_4175	2158	1542	1488	1829	1323	431	1347	1002	891	1781
SL1344_4176	2242	4719	646	1014	644	590	4281	717	772	478
SL1344_4177	1814	1709	1098	1386	968	350	1301	871	855	1263
SL1344_4178	825	2181	309	447	279	195	1912	288	248	323
SL1344_4179	1092	1537	923	1348	781	462	1365	866	753	907
SL1344_4180	56	44	32	48	17	21	32	10	26	39
SL1344_4181	262	561	105	159	159	104	414	160	188	169
SL1344_4182	1435	1808	1223	1439	1073	609	1316	1042	882	959
SL1344_4183	1395	1397	848	851	862	343	594	468	609	589
SL1344_4184	1234	1187	647	1124	712	321	956	666	744	867
SL1344_4185	558	574	353	436	429	129	360	324	263	408
SL1344_4186	728	1089	561	720	525	218	1003	546	434	637
SL1344_4187	542	711	328	485	347	216	675	368	329	362
SL1344_4188	61	36	21	41	20	4	41	20	13	48
SL1344_4189	85	47	47	85	38	20	54	26	20	81
SL1344_4190	2886	3104	2258	3104	2367	1384	3004	2323	2159	2226
SL1344_4191	39	43	30	37	31	10	56	34	22	32
SL1344_4192	11115	14210	9904	13855	9051	2870	14634	9985	8560	8879
SL1344_4193	33	37	95	20	250	3	20	81	124	187
SL1344_4194	40	30	135	42	324	18	36	155	95	281
SL1344_4196	40	39	114	34	320	9	49	137	117	286
SL1344_4197	3419	5160	3521	3134	4710	1176	3816	3198	2517	3792
SL1344_4198	255	259	224	295	311	48	354	218	233	393
SL1344_4199	161	135	139	295	94	100	325	169	45	150
SL1344_4200	526	620	272	407	280	127	551	226	168	358
SL1344_4201	26	10	12	5	13	8	16	18	3	15
SL1344_4202	156	306	140	167	125	55	237	141	97	151
SL1344_4203	138	248	65	60	70	29	147	51	19	52
SL1344_4204	498	605	426	478	353	327	639	434	352	342
SL1344_4205	303	579	177	273	215	110	421	179	201	256
SL1344_4206	307	548	288	423	316	142	473	344	294	271
SL1344_4207	126	208	107	127	164	45	161	130	125	151
SL1344_4208	141	190	120	104	104	36	130	86	93	109
SL1344_4209	88	177	72	83	99	33	101	71	43	104
SL1344_4210	32	35	12	8	27	9	8	9	11	14
SL1344_4211	115	474	94	47	245	27	80	75	162	173
SL1344_4212	59	79	44	46	54	9	61	49	23	60
SL1344_4213	60	63	45	41	59	19	47	40	34	68
SL1344_4214	52	55	155	62	196	16	37	153	69	100
SL1344_4215	18	6	21	13	30	15	7	9	7	18
SL1344_4216	6	25	5	14	14	10	7	6	4	19
SL1344_4217	91	87	72	41	70	11	56	34	26	49
SL1344_4218	15	8	12	8	22	4	2	7	3	4
SL1344_4219	2104	2566	1258	2015	1330	445	2277	854	707	1478
SL1344_4220	1281	1756	736	1585	851	446	2276	902	1034	763
SL1344_4223	869	1744	913	955	1399	250	1566	939	750	1285
SL1344_4224	489	585	286	296	290	123	399	228	175	318
SL1344_4225	120	108	40	61	71	49	60	24	25	75
SL1344_4226	873	560	615	987	617	480	815	807	709	531
SL1344_4227	858	1604	429	905	361	423	1600	336	222	328
SL1344_4228	1665	1265	749	1425	728	405	1362	959	1103	854
SL1344_4229	1407	1601	1030	1884	972	628	1851	1274	1494	982
SL1344_4230	2692	2372	1899	3613	1893	819	3108	2122	2532	1893
SL1344_4231	77	49	39	41	41	15	61	41	41	55
SL1344_4232	157	234	136	164	266	52	238	168	151	221
SL1344_4233	152	171	95	125	138	28	111	74	74	107
SL1344_4234	182	260	145	80	213	26	113	111	119	148
SL1344_4235	11	17	16	13	12	4	30	13	10	14
SL1344_4236	31	19	17	26	18	5	32	21	18	19
SL1344_4237	459	485	337	377	418	122	307	726	1308	380
SL1344_4238	139	199	154	124	171	21	74	200	402	208
SL1344_4239	52	39	33	17	65	3	25	81	108	61
SL1344_4240	71	75	83	81	59	19	78	54	47	62
SL1344_4241	511	732	483	627	569	230	602	587	504	574
SL1344_4242	35	76	27	33	24	18	73	25	33	45
SL1344_4243	14	42	19	25	19	9	30	18	17	29
SL1344_4244	0	21	13	3	3	5	5	6	16	9
SL1344_4245	31	64	26	25	22	19	45	25	21	29
SL1344_4246	22	31	8	18	18	6	25	3	7	9
SL1344_4247	133	217	170	83	210	26	130	200	296	129
SL1344_4249	29	16	53	41	94	4	28	55	80	88
SL1344_4250	30	18	78	25	202	0	11	119	152	146
SL1344_4251	108	64	333	104	1026	14	28	599	640	693
SL1344_4252	7	6	8	17	4	3	7	4	8	7
SL1344_4253	332	402	271	361	315	108	458	293	212	280
SL1344_4254	248	286	190	194	157	78	260	160	123	173
SL1344_4255	1095	1921	1065	1174	1274	460	1751	1039	866	873
SL1344_4257	488	167	119	183	65	57	188	74	37	156
SL1344_4258	277	304	157	251	191	54	362	190	154	153
SL1344_4259	950	1675	430	685	608	263	1121	540	515	387
SL1344_4260	443	562	251	365	362	176	398	288	277	377
SL1344_4261	371	375	209	288	244	114	258	224	159	384
SL1344_4262	283	462	170	227	268	207	231	434	864	166
SL1344_4263	2687	9761	2460	1642	4201	1068	2476	8298	16872	2802
SL1344_4264	209	431	331	290	313	155	449	549	177	366
SL1344_4265	215	364	138	210	188	76	277	151	132	221
SL1344_4266	16142	80715	45579	12641	30727	6185	46023	36266	4109	34810
SL1344_4267	34318	153239	83628	32730	70471	15379	84315	63488	9843	66250
SL1344_4268	798	1555	728	829	971	266	1114	747	716	638
SL1344_4269	332	221	142	194	127	78	206	101	62	177
SL1344_4270	3932	4021	2103	3606	2313	817	3537	1779	1917	2623
SL1344_4271	10313	17548	14489	17038	14253	4445	16421	14414	12009	14817
SL1344_4273	199	424	106	169	99	39	416	73	44	182
SL1344_4274	1182	1481	2825	2933	5408	654	992	2664	1744	2741
SL1344_4275	322	99	78	152	71	32	130	35	33	145
SL1344_4276	61	213	37	30	23	17	175	27	21	33
SL1344_4277	58	124	41	32	58	27	46	72	132	35
SL1344_4278	163	481	85	80	162	57	187	276	496	148
SL1344_4279	293	822	153	141	355	113	339	557	914	259
SL1344_4280	939	2895	637	552	1082	250	1183	1525	2633	902
SL1344_4281	2261	2262	1570	2069	1378	815	2060	1329	1060	1611
SL1344_4282	270	191	97	253	124	40	227	84	68	167
SL1344_4283	51	31	21	27	15	11	24	10	15	23
SL1344_4284	1824	1903	976	1604	1028	626	1685	910	832	1226
SL1344_4285	1086	1215	670	1124	745	488	1213	664	640	814
SL1344_4286	1068	939	597	1297	968	469	1047	762	864	659
SL1344_4287	1138	1708	1060	1359	924	479	1444	1121	1090	811
SL1344_4288	527	514	298	460	293	112	296	245	167	301
SL1344_4289	882	963	660	765	539	292	844	485	510	480
SL1344_4290	857	1272	546	752	576	253	917	473	342	486
SL1344_4291	488	777	457	425	485	170	556	283	268	445
SL1344_4292	1053	1343	811	921	805	306	1038	597	517	896
SL1344_4293	1925	2090	1217	1667	1176	487	1653	1076	882	1301
SL1344_4294	6375	13885	6516	5304	4751	2489	9252	6122	3804	6831
SL1344_4295	12816	23051	13715	16221	14362	4245	21459	13808	11361	16827
SL1344_4296	8142	15545	7234	7542	6219	3058	8864	5860	5319	7181
SL1344_4297	11909	20836	9982	11165	9319	3444	12063	8086	8081	8312
SL1344_4298	5360	8354	4403	5132	4221	1634	6037	3873	3325	4372
SL1344_4299	8136	9399	5636	10319	6780	5037	9241	6616	7158	4764
SL1344_4300	4415	2017	1492	2167	1121	324	1946	868	615	2800
SL1344_4301	23038	16961	9236	14784	8005	3756	13795	8008	6908	10784
SL1344_4302	823	828	511	821	492	217	768	471	504	610
SL1344_4303	42	32	14	37	21	2	46	31	18	45
SL1344_4305	44	65	24	31	30	10	57	27	19	32
SL1344_4306	101	138	50	59	62	14	70	55	50	53
SL1344_4307	126	173	61	79	108	26	84	50	32	88
SL1344_4308	47	111	38	30	34	23	30	13	30	32
SL1344_4309	133	172	61	83	77	31	106	65	57	80
SL1344_4310	227	535	114	205	183	55	251	144	127	184
SL1344_4311	549	492	202	161	282	46	238	170	255	246
SL1344_4312	276	353	103	95	152	45	125	86	176	147
SL1344_4313	365	785	244	357	356	141	557	295	199	345
SL1344_4314	364	533	314	367	340	153	543	375	266	280
SL1344_4315	76	88	28	57	43	21	58	25	31	46
SL1344_4316	19	23	8	15	13	0	15	3	7	14
SL1344_4317	10	32	20	20	24	11	27	6	13	20
SL1344_4318	10	35	28	12	21	5	15	17	4	11
SL1344_4319	46	111	43	21	48	18	49	60	36	37
SL1344_4320	65	103	48	40	44	17	42	36	23	52
SL1344_4321	102	167	62	54	81	25	70	45	37	68
SL1344_4322	146	150	81	120	112	36	151	79	72	62
SL1344_4323	738	470	510	1160	558	194	1110	856	715	667
SL1344_4324	23748	28318	22581	27585	17687	8827	21789	20204	18974	16235
SL1344_4325	31652	40655	35067	45187	26917	7741	41758	31525	25646	34080
SL1344_4326	4715	4112	3915	5868	3232	1353	5179	3951	3435	3593
SL1344_4327	6623	6002	4927	7716	4179	4445	6268	5668	5205	4420
SL1344_4328	455	252	159	253	152	53	172	84	84	241
SL1344_4329	1300	1652	805	1146	812	309	1140	712	717	921
SL1344_4330	1197	1739	871	722	762	423	582	479	545	595
SL1344_4331	2377	1642	1095	1721	994	512	1374	665	548	1109
SL1344_4332	202	192	92	300	151	78	168	147	135	135
SL1344_4333	112	97	55	52	31	31	92	26	35	127
SL1344_4334	23	46	19	25	27	15	26	17	21	23
SL1344_4335	125	182	123	165	141	20	190	96	64	90
SL1344_4336	160	394	184	96	311	86	144	167	273	178
SL1344_4337	412	675	256	345	287	225	524	272	211	317
SL1344_4338	124	161	58	67	82	28	88	56	40	49
SL1344_4339	2532	7199	1264	1473	2056	916	6762	1724	1670	1079
SL1344_4340	3030	3480	2320	3401	2132	978	3554	1997	1510	2671
SL1344_4341	398	869	348	360	431	217	707	366	211	692
SL1344_4342	1266	2079	922	1068	928	398	1272	748	628	1031
SL1344_4343	4762	6912	2936	4145	3102	1683	5258	2817	2568	2933
SL1344_4344	491	632	328	453	346	158	645	386	258	510
SL1344_4345	238	279	143	220	152	85	227	146	137	172
SL1344_4346	13	16	18	20	17	8	14	10	8	22
SL1344_4347	7309	10268	6914	9669	6527	4034	9548	8414	8058	6755
SL1344_4348	2693	7120	1021	1292	1401	1338	3801	3449	5918	1592
SL1344_4349	2977	4376	2585	2456	2623	1343	1874	1706	2032	1880
SL1344_4350	1548	1726	1074	1510	1061	513	1553	985	1027	1071
SL1344_4351	253	178	119	182	139	71	248	122	88	153
SL1344_4352	66	100	57	91	58	40	104	53	42	69
SL1344_4353	147	217	88	113	115	37	133	93	97	94
SL1344_4354	143	259	122	145	139	39	152	92	92	127
SL1344_4354A	29	55	56	67	43	14	39	43	56	38
SL1344_4355	56	100	45	76	104	12	50	45	67	50
SL1344_4356	8	3	11	2	2	2	9	5	3	4
SL1344_4357	91	113	35	63	40	17	46	27	22	40
SL1344_4358	106	94	64	53	54	20	74	70	24	48
SL1344_4359	139	200	91	92	117	31	116	96	68	70
SL1344_4360	16	21	9	15	13	6	11	10	9	15
SL1344_4361	93	169	69	65	95	35	82	83	60	70
SL1344_4362	82	126	59	63	79	32	66	42	55	58
SL1344_4363	83	140	68	83	75	33	148	49	75	62
SL1344_4364	36	42	19	45	22	18	47	15	14	26
SL1344_4365	43	87	23	39	28	12	51	13	19	32
SL1344_4366	71	83	48	55	48	32	88	42	31	34
SL1344_4367	1168	1704	1093	1394	1133	796	1352	995	995	839
SL1344_4368	2082	2369	1328	2252	1911	785	2458	1692	1832	1275
SL1344_4369	1159	2092	1020	1014	1073	594	1783	1213	756	1090
SL1344_4370	81	104	41	41	79	9	50	40	40	52
SL1344_4371	65	107	36	15	48	21	32	27	46	45
SL1344_4372	18	12	5	6	15	4	4	5	11	13
SL1344_4373	105	118	43	43	129	20	77	47	46	102
SL1344_4374	64	144	37	34	92	23	43	35	51	55
SL1344_4375	71	185	51	39	62	26	62	35	48	46
SL1344_4376	135	364	97	52	101	34	109	63	78	65
SL1344_4377	42	90	28	27	25	12	49	29	22	26
SL1344_4378	605	808	379	554	479	109	692	354	342	420
SL1344_4379	321	494	221	287	239	72	340	252	249	209
SL1344_4380	148	194	109	123	103	40	134	103	79	94
SL1344_4381	44	76	56	71	48	21	77	38	71	65
SL1344_4382	202	249	111	172	218	94	207	212	289	150
SL1344_4384	124	138	102	88	116	104	75	81	96	78
SL1344_4386	172	154	92	192	111	62	158	74	69	78
SL1344_4387	1443	1147	877	1048	627	496	861	721	562	872
SL1344_4388	604	725	400	530	440	191	483	458	514	396
SL1344_4389	870	1668	891	1157	1282	663	1375	1286	1581	928
SL1344_4390	262	383	287	351	299	148	444	473	596	281
SL1344_4391	265	356	208	264	215	115	272	434	517	172
SL1344_4392	20	6	18	31	17	8	21	18	29	12
SL1344_4393	23	45	22	21	31	11	31	28	22	16
SL1344_4394	110	136	85	97	74	38	95	47	83	87
SL1344_4395	17	10	4	5	3	3	17	15	17	6
SL1344_4396	4	6	2	4	7	7	4	1	12	6
SL1344_4397	3	5	2	4	6	3	5	11	10	6
SL1344_4398	96	203	124	77	144	22	134	117	104	110
SL1344_4399	70	91	69	112	66	11	81	53	20	76
SL1344_4400	5419	7798	5437	5653	4563	1271	7354	5503	6590	3808
SL1344_4401	341	437	320	478	337	122	403	252	315	431
SL1344_4402	55	119	92	108	112	22	125	67	35	97
SL1344_4403	273	405	281	308	243	91	290	288	113	223
SL1344_4404	100	87	62	76	79	29	94	63	52	97
SL1344_4405	7857	12530	7767	10086	7828	6368	10373	7736	7189	7628
SL1344_4406	2769	3621	2276	3266	2778	1319	3225	2746	3274	1847
SL1344_4407	2096	4107	2182	2669	2445	1632	3412	2454	1950	2496
SL1344_4408	584	919	534	571	552	392	744	544	495	476
SL1344_4409	1960	2506	1346	1744	1151	770	1814	1069	1045	1389
SL1344_4410	2390	3772	1805	1905	1567	1031	2400	1367	1498	1733
SL1344_4411	94	56	33	26	60	12	34	26	24	35
SL1344_4412	32	36	14	10	43	4	12	10	14	19
SL1344_4413	11	20	10	7	12	10	13	14	6	17
SL1344_4414	19	32	10	3	26	7	10	24	29	7
SL1344_4415	20	15	13	11	17	16	16	13	15	11
SL1344_4416	928	3450	150	577	293	251	3065	322	306	185
SL1344_4418	2904	4698	2412	2560	2520	771	3308	2307	2144	2464
SL1344_4419	538	1196	583	568	590	161	942	548	458	834
SL1344_4420	2832	3521	1926	2908	2304	995	2921	2209	2238	2338
SL1344_4421	4805	6270	3631	5358	4093	1337	4993	3780	4109	4454
SL1344_4422	753	970	568	842	634	163	806	491	482	811
SL1344_4423	2122	2759	1553	2262	1848	1104	2169	1690	1687	1879
SL1344_4424	5414	6427	4188	5569	4581	1467	5276	4130	4426	5197
SL1344_4425	5485	7144	4206	6024	4435	2522	5841	4728	4805	4732
SL1344_4426	1125	1741	969	1399	993	372	1494	963	1011	1043
SL1344_4427	845	1196	672	923	703	454	970	697	871	536
SL1344_4429	2717	2817	2055	2627	1641	576	2658	2156	2118	2301
SL1344_4430	342	368	147	191	212	72	229	215	319	258
SL1344_4431	65	62	41	45	48	8	45	40	59	106
SL1344_4432	22	19	9	12	16	6	22	2	6	10
SL1344_4434	51	63	39	34	53	15	55	26	51	54
SL1344_4435	105	174	81	115	82	57	127	75	64	96
SL1344_4436	145	156	100	137	113	28	150	116	42	128
SL1344_4437	1475	1658	876	1138	905	455	1341	981	862	857
SL1344_4438	111	90	49	103	69	27	81	45	36	84
SL1344_4440	592	1155	383	363	328	169	885	284	204	328
SL1344_4441	97	231	69	66	65	53	126	49	38	53
SL1344_4442	197	235	158	208	182	92	177	135	134	110
SL1344_4443	194	380	203	239	210	188	345	174	179	198
SL1344_4444	16	30	16	26	15	4	27	23	8	21
SL1344_4445	8	19	3	7	4	0	8	11	4	3
SL1344_4446	96	46	17	36	31	11	36	29	10	43
SL1344_4447	234	230	130	131	89	62	284	106	65	127
SL1344_4448	133	130	53	97	58	36	116	60	39	60
SL1344_4449	607	788	259	354	364	149	525	358	323	233
SL1344_4450	300	1220	78	168	85	80	1130	65	46	76
SL1344_4451	16	5	7	4	3	0	15	3	2	8
SL1344_4452	56	47	28	18	23	16	53	22	17	15
SL1344_4453	25	29	28	26	23	27	42	32	25	44
SL1344_4454	33	18	8	22	9	10	21	9	6	18
SL1344_4455	1697	2029	1585	1891	1620	383	2066	1548	1338	1886
SL1344_4456	2203	3647	2473	2715	2604	918	2859	1990	1979	2348
SL1344_4457	1056	1923	973	1356	1002	486	1484	1032	1089	942
SL1344_4458	319	589	340	330	293	141	323	265	266	350
SL1344_4459	392	561	306	318	279	147	488	361	202	283
SL1344_4460	152	235	89	109	99	92	156	137	89	82
SL1344_4461	1336	2165	814	1169	1535	264	1115	764	649	1651
